Question,Answer 1,Answer 2,Answer 3,Answer 4,RealAnswer
What is a noun?,Action word,Describing word,Person place or thing,Joining word,3
Which word is a verb?,Happy,Quickly,Jump,Blue,3
What is the plural of "child"?,Childs,Children,Childrens,Childes,2
What is a synonym for "big"?,Small,Large,Tiny,Narrow,2
Which is the correct spelling?,Recieve,Receve,Receive,Receeve,3
What is an antonym for "hot"?,Warm,Cool,Cold,Boiling,3
What punctuation ends a question?,Period,Comma,Question mark,Exclamation point,3
Which is a proper noun?,city,london,river,mountain,2
What is an adjective?,Describes a noun,Action word,Person or place,Connecting word,1
Which sentence is correct?,She don't like pizza,She doesn't like pizza,She not like pizza,She no like pizza,2
What is the past tense of "run"?,Runned,Running,Ran,Runs,3
Which word is an adverb?,Slow,Slowly,Slower,Slowness,2
What is a metaphor?,Direct comparison,Exaggeration,Comparison using like or as,Sound imitation,1
Which is the subject in "The dog barked loudly"?,The,Dog,Barked,Loudly,2
What is alliteration?,Rhyming words,Repeated consonant sounds,Exaggeration,Comparison,2
Which sentence uses correct punctuation?,Its a sunny day,Its' a sunny day,It's a sunny day,Its a sunny day.,3
What is a homophone?,Same spelling different meaning,Same sound different spelling,Opposite meaning,Similar meaning,2
Which word is a pronoun?,Table,Quickly,She,Beautiful,3
What is onomatopoeia?,Exaggeration,Words that imitate sounds,Repeated phrases,Hidden meaning,2
What is the superlative form of "good"?,Gooder,More good,Best,Goodest,3
Which is a compound word?,Running,Butterfly,Walked,Beautiful,2
What is personification?,Giving human traits to non-human things,Extreme exaggeration,Direct comparison,Rhyming pattern,1
Which sentence is in passive voice?,The cat chased the mouse,The mouse was chased by the cat,The cat is chasing,The mouse runs away,2
What is a prefix?,Word ending,Word beginning,Root word,Full word,2
Which is the correct use of "their"?,Their going to the store,They're books are here,Their house is big,There coming soon,3